"game_name","game_name_abbr","index_name",dimension,reversed
"察颜观色PRO","FacesPro","ies_switch",,
"察颜观色PRO","FacesPro","ies_repeat",,
"察颜观色PRO","FacesPro","rcs_switch",,
"察颜观色PRO","FacesPro","rcs_repeat",,
"察颜观色PRO","FacesPro","lisas_switch",,
"察颜观色PRO","FacesPro","lisas_repeat",,
"察颜观色PRO","FacesPro","cong_eff_pc",,
"察颜观色PRO","FacesPro","cong_eff_mrt",,
"察颜观色PRO","FacesPro","cong_eff_ies",,
"察颜观色PRO","FacesPro","cong_eff_rcs",,
"察颜观色PRO","FacesPro","cong_eff_lisas",,
"察颜观色PRO","FacesPro","pc_inc",,
"察颜观色PRO","FacesPro","pc_con",,
"察颜观色PRO","FacesPro","mrt_inc",,
"察颜观色PRO","FacesPro","mrt_con",,
"察颜观色PRO","FacesPro","ies_inc",,
"察颜观色PRO","FacesPro","ies_con",,
"察颜观色PRO","FacesPro","rcs_inc",,
"察颜观色PRO","FacesPro","rcs_con",,
"察颜观色PRO","FacesPro","lisas_inc",,
"察颜观色PRO","FacesPro","lisas_con",,
"色彩检测","FiltColor","k",Attention,f
"色彩检测","FiltColor","k3",,
"色彩检测","FiltColor","k5",,
"色彩检测","FiltColor","k7",,
"色彩检测","FiltColor","k9",,
"词汇学习","VL","nc",Learning,f
"万花筒","ObjSpan","nc",Memory,f
"万花筒","ObjSpan","max_span",,
"万花筒","ObjSpan","mean_span_pcu",,
"万花筒","ObjSpan","mean_span_anu",,
"事件记忆","EOT","nc",Memory,f
"社交达人","FName","fnn",,
"社交达人","FName","fno",,
"社交达人","FName","fntotal",Memory,f
"三维心理旋转测试A","MR3D","nc",Quantitative,f
"过目不忘PRO","FWSPro","nc",Memory,f
"过目不忘PRO","FWSPro","max_span",,
"过目不忘PRO","FWSPro","mean_span_pcu",,
"过目不忘PRO","FWSPro","mean_span_anu",,
"文字推理","VR","nc",Reasoning,f
"CVLT记忆策略","CVLTS","nc_score",,
"社交达人记忆策略","FNS","nc_score",,
"序列记忆-记忆策略","SMS","nc_score",,
