game_name_origin,game_name,game_name_abbr,index_name,cur_version,dimension,reversed,check_result
眼耳并用,眼耳并用,Dual2back,rcs_aud,弃用,,,
眼耳并用,眼耳并用,Dual2back,rcs_both,弃用,,,
眼耳并用,眼耳并用,Dual2back,rcs_vis,弃用,,,
一心二用PRO,一心二用PRO,DualTaskPro,commissions,初版,,,
一心二用PRO,一心二用PRO,DualTaskPro,dprime,初版,,,
一心二用PRO,一心二用PRO,DualTaskPro,mrt,初版,,,
一心二用PRO,一心二用PRO,DualTaskPro,nc,初版,multitask,no,target
一心二用PRO,一心二用PRO,DualTaskPro,omissions,初版,,,
一心二用PRO,一心二用PRO,DualTaskPro,rtsd,初版,,,
萤火虫PRO,萤火虫PRO,MOTPro,max_span,初版,,,
萤火虫PRO,萤火虫PRO,MOTPro,mean_span_anu,初版,,,
萤火虫PRO,萤火虫PRO,MOTPro,mean_span_pcu,初版,attention,no,target-alt1
萤火虫PRO,萤火虫PRO,MOTPro,nc,初版,attention,no,target-alt2
宇宙黑洞A,宇宙黑洞A,LocMemStd,max_span,初版,,,
宇宙黑洞A,宇宙黑洞A,LocMemStd,mean_span_anu,初版,,,
宇宙黑洞A,宇宙黑洞A,LocMemStd,mean_span_pcu,初版,short term memory,no,target-alt1
宇宙黑洞A,宇宙黑洞A,LocMemStd,nc,初版,short term memory,no,target-alt2
语义判断,语义判断,Seman,commissions,初版,,,
语义判断,语义判断,Seman,dprime,初版,,,
语义判断,语义判断,Seman,mrt,初版,,,
语义判断,语义判断,Seman,nc,初版,language,no,target
语义判断,语义判断,Seman,omissions,初版,,,
语义判断,语义判断,Seman,rtsd,初版,,,
远距离联想A,远距离联想,RAT,nc,初版,reasoning,no,target
远距离联想B,远距离联想,RAT,nc,初版,,,
专注大师_中级,专注大师_中级,CalcSpdMed,nc,初版,attention,no,target
捉虫高级简版,捉虫高级简版,TOVAS,commissions,初版,,,
捉虫高级简版,捉虫高级简版,TOVAS,dprime,初版,attention,no,target
捉虫高级简版,捉虫高级简版,TOVAS,mrt,初版,speeded IP,yes,target
捉虫高级简版,捉虫高级简版,TOVAS,nc,初版,,,
捉虫高级简版,捉虫高级简版,TOVAS,omissions,初版,,,
捉虫高级简版,捉虫高级简版,TOVAS,rtsd,初版,attention,yes,target
魔术师高级,魔术师高级,Nback3,dprime,初版,,,
魔术师高级,魔术师高级,Nback3,ies,初版,,,
魔术师高级,魔术师高级,Nback3,lisas,初版,,,
魔术师高级,魔术师高级,Nback3,mrt,初版,,,
魔术师高级,魔术师高级,Nback3,pc,初版,,,
魔术师高级,魔术师高级,Nback3,rcs,初版,,,
瑞文高级推理,瑞文高级推理,RAPM,nc,初版,,,
瑞文高级推理,瑞文高级推理,RAPM,nc,初版,,,
